check	denetlemek
Senin vizyonuna kötü şeyler olmuş.	Senin ileri görüşüne kötü şeyler olmuş.
Benim vizyonuma yeni eklemeler yaptım.	Benim ileri görüşüme yeni eklemeler yaptım.
onun vizyonuna ekleme yapmayın sakın.	onun ileri görüşüne ekleme yapmayın sakın.
onların vizyonları bozuk arkadaş.	onların ileri görüşleri bozuk arkadaş.
vizyonlarınız hatalı bence.	ileri görüşleriniz hatalı bence.
Bizim vizyonumuz bize aittir.	Bizim ileri görüşümüz bize aittir.
Birçok vizyonlarımız vardı eskiden.	Birçok ileri görüşlerimiz vardı eskiden.
Vizyon önemli bir olgu.	İleri görüş önemli bir olgu.
her firma vizyon belirlemeli.	her firma ileri görüş belirlemeli.
Robotların da vizyonu olabilir.	Robotların da ileri görüşü olabilir.
cc	e-posta bilgisi
Seni cc'ye ekledim.	Seni e-posta bilgisine ekledim.
Genel müdürü cc'ye eklemek çözüm oldu.	Genel müdürü e-posta bilgisine eklemek çözüm oldu.
Hilal'i ve Utku'yu cc'ye ekleyerek Furkan'a mail attım.	Hilal'i ve Utku'yu e-posta bilgisine ekleyerek Furkan'a mail attım.
cc nasıl kullanılır.	e-posta bilgisi nasıl kullanılır.
cc'de kimler olmalı.	e-posta bilgisinde kimler olmalı.
seni sevseydi cc'ye seni de eklerdi.	seni sevseydi e-posta bilgisine seni de eklerdi.
cc'yi silmeyi unutmuşsun.	e-posta bilgisini silmeyi unutmuşsun.
senin adını cc'de göremedim.	senin adını e-posta bilgisinde göremedim.
kendi mail atarken kendini cc'ye de eklemelisin.	kendi mail atarken kendini e-posta bilgisine de eklemelisin.
müdür adları cc'de belli kurala göre sıralanır.	müdür adları e-posta bilgisinde belli kurala göre sıralanır.
Elektronik postada cc bölümü var.	Elektronik postada e-posta bilgisi bölümü var.
bu cc bölümüne ilgili kişiler eklenir.	bu e-posta bilgisi bölümüne ilgili kişiler eklenir.
Hasan'ı da ccye ekle.	Hasan'ı da e-posta bilgisine ekle.
Onun cc takıntısı var.	Onun e-posta bilgisi takıntısı var.
ccyi gördün mü genel müdür bile var.	e-posta bilgisini gördün mü genel müdür bile var.
cc'nin türkçesi var mı?	e-posta bilgisinin türkçesi var mı?
Türkçesi olan bir terimdir cc.	Türkçesi olan bir terimdir e-posta bilgisi.
O halde artık ccyi kullanmayalım.	O halde artık e-posta bilgisini kullanmayalım.
cc'yi kim düşünmüşse zeki adammış.	e-posta bilgisini kim düşünmüşse zeki adammış.
full time	tam zamanlı
Babasının lokantasında full-time çalışır.	Babasının lokantasında tam zamanlı çalışır.
Aslında part-time çalışıyordum şimdi full-time yaptılar.	Aslında part-time çalışıyordum şimdi tam zamanlı yaptılar.
Bunu eski parçalarla uçabilecek halde tutmak bile full time bir iştir.	Bunu eski parçalarla uçabilecek halde tutmak bile tam zamanlı bir iştir.
Görünüşe bakılırsa Jacob Blankenship bir part-time politik radical ve bir full-time baş belası.	Görünüşe bakılırsa Jacob Blankenship bir part-time politik radical ve bir tam zamanlı baş belası.
Belki de sana part time süre vermesinin nedeni, bana full time süre vermesidir.	Belki de sana part time süre vermesinin nedeni, bana tam zamanlı süre vermesidir.
Ben full time çalışıyorum TUSAŞ'ta çok şükür.	Ben tam zamanlı çalışıyorum TUSAŞ'ta çok şükür.
TUSAŞ'ta full time işe başlayacağım.	TUSAŞ'ta tam zamanlı işe başlayacağım.
full time çalışmak güzeldir.	tam zamanlı çalışmak güzeldir.
kötü olan full time çalışamamak.	kötü olan tam zamanlı çalışamamak.
full time ne demek?	tam zamanlı ne demek?
full time işim var.	tam zamanlı işim var.
ne full time ne yarı zamanlı... ben çalışmaya karşıyım.	ne tam zamanlı ne yarı zamanlı... ben çalışmaya karşıyım.
Devlet de full time mı çalışıyor?	Devlet de tam zamanlı mı çalışıyor?
İşin full timeı makbuldür.	İşin tam zamanlısı makbuldür.
full timeın yarsı gece vaktinde.	tam zamanlının yarsı gece vaktinde.
çalışırken full time'ı kabul etmem.	çalışırken tam zamanlıyı kabul etmem.
Ne demek be full time'ın yarısı gece vakti.	Ne demek be tam zamanlının yarısı gece vakti.
İftayecilerin full timeı nasıldır acaba?	İftayecilerin tam zamanlısı nasıldır acaba?
Ben full time'ı anlamıyorum.	Ben tam zamanlıyı anlamıyorum.
Sen full timeı anlıyor musun?	Sen tam zamanlıyı anlıyor musun?
Full time can kurtaranım ben.	Tam zamanlı can kurtaranım ben.
inovasyon	yenilik
İnovasyon firmalarında çalışmak güzeldir.	Yenilik firmalarında çalışmak güzeldir.
Bu gerçekten bir inovasyon firmasıdır.	Bu gerçekten bir yenilik firmasıdır.
İnovasyonlara yatırım yapan firmalar büyür.	Yeniliklere yatırım yapan firmalar büyür.
"Ne olursa olsun bir sonraki inovasyon döngüsünde kazanacağım."	"Ne olursa olsun bir sonraki yenilik döngüsünde kazanacağım."
O güzel bir inovasyon olurdu.	O güzel bir yenilik volurdu.
Kültür, eğitim, araştırma ve inovasyon bitip tükenmeyen kaynaklar.	Kültür, eğitim, araştırma ve yenilik bitip tükenmeyen kaynaklar.
Bu, dürüst olmak gerekirse, daha çok iş dünyası tarafından: inovasyon, yaratıcılık ve değişim.	Bu, dürüst olmak gerekirse, daha çok iş dünyası tarafından: yenilik, yaratıcılık ve değişim.
Bu, internet öncesi, yani İ.Ö. inovasyon modeli.	Bu, internet öncesi, yani İ.Ö. yenilik modeli.
Bana inovasyonu öğretir misin?	Bana yeniliği öğretir misin?
Senin inovasyonun güzel.	Senin yeniliğin güzel.
İnovasyon nedir biliyor musun?	yenilik nedir biliyor musun?
Bu firmanın değişik inovasyonları var.	Bu firmanın değişik yenilikleri var.
İnovasyonu olmayan şirket batmaya mahkumdur.	yeniliği olmayan şirket batmaya mahkumdur.
İnovasyonların varsa ayakta kalabilirsin.	yeniliklerin varsa ayakta kalabilirsin.
Ezber yerine inovasyona yönelmeliyiz.	Ezber yerine yeniliğe yönelmeliyiz.
benim inovasyonum seninkini döver.	benim yeniliğim seninkini döver.
Senin inovasyonun saçma.	Senin yeniliğin saçma.
onun inovasyonu bizimki gibi güzel.	onun yeniliği bizimki gibi güzel.
İnovasyonun bir değişik türüdür bu.	Yeniliğin bir değişik türüdür bu.
Plaza dili inovasyona çok engeldir.	Plaza dili yeniliğe çok engeldir.
set etmek	ayarlamak
Toplantı set ettin mi?	Toplantı ayarladın mı?
Yeni bir görüşme set et lütfen.	Yeni bir görüşme ayarla lütfen.
Set etmediğin bir toplantıya girme.	ayarlamadığın bir toplantıya girme.
set edilmemiş bir toplantı bu.	ayarlanmamış bir toplantı bu.
Daha görüşme set edemeyen kişiler var şirkette.	Daha görüşme ayarlayamayan kişiler var şirkette.
müdürle bir görüşme set ettim.	müdürle bir görüşme ayarladım.
Sen de direktör ile toplantı set et.	Sen de direktör ile toplantı ayarla.
Topltantı set etmek yetenek işidir.	Topltantı ayarlamak yetenek işidir.
Herkes toplantı set edemez.	Herkes toplantı ayarlayamaz.
Her şeyi set ettinysen sorun kalmaz.	Her şeyi ayarladıysan sorun kalmaz.
set etmek ne demek?	ayarlamak ne demek?
set etmenin değişik manaları var.	ayarlamanın değişik manaları var.
set etmeyeceğin toplantı için söz verme.	ayarlamayacağın toplantı için söz verme.
sen nasıl set edemeyeceğin toplantının sözlerini verirsin.	sen nasıl ayarlayamacağın toplantının sözlerini verirsin.
iyi set etmeler.	iyi ayarlamalar.
Emrah bunu sen set et.	Emrah bunu sen ayarla.
Emredersiniz komutanım ben set edeceğim.	Emredersiniz komutanım ben ayarlayacağım.
Sen set ettin.	Sen ayarladın.
ben set ettim.	ben ayarladım.
o set etti.	o ayarladı.
Biz set ettik.	Biz ayarladık.
siz set ettiniz.	siz ayarladınız.
onlar set ettiler.	onlar ayarladılar.
Ben set ediyorum.	Ben ayarlıyorum.
sen set ediyorsun.	sen ayarlıyorsun.
o set ediyor.	o ayarlıyor.
biz set ediyoruz.	biz ayarlıyoruz.
siz set ediyorsunuz.	siz ayarlıyorsunuz.
onlar set ediyorlar.	onlar ayarlıyorlar.
Ben set edeceğim.	Ben ayarlayacağım.
sen set edeceksin.	sen ayarlayacaksın.
o set edecek.	o ayarlayacak.
biz set edeceğiz.	biz ayarlayacağız.
siz set edeceksiniz.	siz ayarlayacaksınız.
onlar set edecekler.	onlar ayarlayacaklar.
