check	denetlemek
set edilmemiş bir toplantı bu.	ayarlanmamış bir toplantı bu.
Daha görüşme set edemeyen kişiler var şirkette.	Daha görüşme ayarlayamayan kişiler var şirkette.
müdürle bir görüşme set ettim.	müdürle bir görüşme ayarladım.
Sen de direktör ile toplantı set et.	Sen de direktör ile toplantı ayarla.
Topltantı set etmek yetenek işidir.	Topltantı ayarlamak yetenek işidir.
Herkes toplantı set edemez.	Herkes toplantı ayarlayamaz.
Her şeyi set ettinysen sorun kalmaz.	Her şeyi ayarladıysan sorun kalmaz.
Projenin deadline geliyor.	Projenin son teslim zamanı geliyor.
Yapılacak olacak projenin deadline belli olmadı.	Yapılacak olacak projenin son teslim zamanı belli olmadı.
Müşteri deadline hakkında bir bilgi vermedi.	Müşteri son teslim zamanı hakkında bir bilgi vermedi.
Çalışanlar deadline yüzünden telaşlandılar.	Çalışanlar son teslim zamanı yüzünden telaşlandılar.
Mesailer projenin deadline yüzünden uzatıldı.	Mesailer projenin son teslim zamanı yüzünden uzatıldı.
Patrondan deadline için değişiklik istediler.	Patrondan son teslim zamanı için değişiklik istediler.
Deadline unutulduğu için proje yetiştirilemedi.	Son teslim zamanı unutulduğu için proje yetiştirilemedi.
Deadline olmayan işler bir türlü bitmiyordu.	Son teslim zamanı olmayan işler bir türlü bitmiyordu.
Projeye bazı şeyler eklenince deadline uzatıldı.	Projeye bazı şeyler eklenince son teslim zamanı uzatıldı.
Projenin deadline gelene kadar herkes çalışmak zorundaydı.	Projenin son teslim zamanı gelene kadar herkes çalışmak zorundaydı.
Bu toplantıda konuşulacakların check edilmesi gerekiyor.	Bu toplantıda konuşulacakların  denetlenmesi gerekiyor.
Check edilen konularda sonradan sıkıntı çıktı.	Denetlenen konularda sonradan sıkıntı çıktı.
Yazdığı kodları check etmediği için birden fazla hata çıktı.	Yazdığı kodları denetlemediği için birden fazla hata çıktı.
Asistanın check edeceği evraklar bitti.	Asistanın denetleyeceği evraklar bitti.
Patron check etmek için ofise geldi.	Patron denetlemek için ofise geldi. 
Check edilen defterler kayboldu.	Denetlenen defterler kayboldu.
Toplantıdan ortaya çıkan sorunlar check edilip tekrar konuşulacak.	Toplantıdan ortaya çıkan sorunlar denetlenip tekrar konuşulacak.
Bu işin check edilecek bir tarafı yok.	Bu işin denetlenecek bir tarafı yok.
Banka hesabını check etmediği için hesabı kapanmış.	Banka hesabını denetlemediği için hesabı kapanmış.
Check edilecek birden fazla gıda firması var.	Denetlenecek birden fazla gıda firması var.
Bu yıl ki lansman çok konuşuldu.	Bu yıl ki tanıtım çok konuşuldu.
Lansmanda podyuma çıkacak mankenleri buldular.	Tanıtımda podyuma çıkacak mankenleri buldular.
Lansman zamanı birden fazla gazeteci oraya gelecek.	Tanıtım zamanı birden fazla gazeteci oraya gelecek.
Lansmanın hazırlığına bir hafta önceden başladılar.	Tanıtımın hazırlığına bir hafta önceden başladılar.
Lansmana kadar bütün üretimleri bitirmek zorundalardı.	Tanıtıma kadar bütün üretimleri bitirmek zorundalardı.
Lansman sırasında şirket sahibi konuşma yaptı.	Tanıtım sırasında şirket sahibi konuşma yaptı.
Lansman için sunum hazırlandı.	Tanıtım için sunum hazırlandı.
Lansmanda misafirlere içecek servisi yapıldı.	Tanıtımda misafirlere içecek servisi yapıldı.
Lansman beklentinin çoğunu karşıladı.	Tanıtım beklentinin çoğunu karşıladı.
Beklenen kişiler lansmana gelmediler.	Beklenen kişiler tanıtıma gelmediler.
Bu absürt olaylar hakkında konuşmak istemiyorum.	Bu saçma olaylar hakkında konuşmak istemiyorum.
Ne kadar absürt konuşuyorsun.	Ne kadar saçma konuşuyorsun.
Absürt olaylar hep benim başıma gelir.	Saçma olaylar hep benim başıma gelir.
Absürt paylaşımlar yüzünden insanlar vakit kaybı yaşıyor.	Saçma paylaşımlar yüzünden insanlar vakit kaybı yaşıyor. 
Absürt kitaplar okumaya bayılır.	Saçma kitaplar okumaya bayılır.
Bu konu hakkında düşünceleri absürttü.	Bu konu hakkında düşünceleri saçmaydı. 
Absürt bir olay yüzünden şaşkına döndü.	Saçma bir olay yüzünden şaşkına döndü.
Bazı kelimeler çok absürttü.	Bazı kelimeler çok saçmaydı.
Konu çok absürttü.	Konu çok saçmaydı.
En absürt cümleler bu sitede var.	En saçma cümleler bu sitede var.
Bu test analiz edildi.	Bu test çözümlendi.
Analiz edilmesi gereken bazı grafikler var.	Çözümlenmesi gereken bazı grafikler var.
Bu süreçte işleri analiz etmek zor olacaktır.	Bu süreçte işleri çözümlemek zor olacaktır.
Analiz süreci boyunca çok çalışmalıyız.	Çözümleme süreci boyunca çok çalışmalıyız.
Ne kadar iyi analiz yapılırsa o kadar iyi anlaşılır.	Ne kadar iyi çözümleme yapılırsa o kadar iyi anlaşılır.
Soruyu kodlamadan önce analiz etmek gerekir.	Soruyu kodlamadan önce çözümlemek gerekir.
Makalelerde bazı analizler yapılmış.	Makalelerde bazı çözümlemeler yapılmış.
Öğretmen konuyu iyi bir  şekilde analiz etti.	Öğretmen konuyu iyi bir  şekilde çözümledi.
Bazı problemleri anlamak için analiz etmek gerekir.	Bazı problemleri anlamak için çözümlemek gerekir.
Bir yıllık çalışmasını analiz etti.	Bir yıllık çalışmasını çözümledi.
Vizyon sahibi insan bulmak zor.	İleri görüş sahibi insan bulmak zor.
Vizyonuna güvendiği için bu kadar iddialıydı.	İleri görüşüne güvendiği için bu kadar iddialıydı.
Şirketin vizyonu gayet iyi.	Şirketin ileri görüşü gayet iyi.
Vizyon sahibi olmak için çok çalıştı.	İleri görüş sahibi olmak için çok çalıştı.
Vizyon şirketler arasında önemli bir kriter haline geldi.	İleri görüş şirketler arasında önemli bir kriter haline geldi.
Vizyon sahibi olmak için çok gelişmesi gereken şirketler vardı.	İleri görüş sahibi olmak için çok gelişmesi gereken şirketler vardı.
Kendiniz ile ilgili vizyonunuzu arttırın.	Kendiniz ile ilgili ileri görüşünüzü arttırın.
Destek alacağınız değerlere dayalı bir vizyonunuz olmalıdır.	Destek alacağınız değerlere dayalı bir ileri görüşünüz olmalıdır.
Vizyon geleceği paylaşmaktır.	İleri görüş geleceği paylaşmaktır.
Vizyon soyut bir kavram değildir.	İleri görüş soyut bir kavram değildir.
Sana cc yollayacağım.	Sana elektronik posta bilgisi yollayacağım.
Cc ye onu eklemeyi unuttuğu için azar işitti.	elektronik posta bilgisine onu eklemeyi unuttuğu için azar işitti.
Toplantıdaki herkesi ccledi.	Toplantıdaki herkesi elektronik posta bilgisine ekledi.
Elektronik posta gönderirken beni de ccler misin?	Elektronik posta gönderirken beni de elektronik posta bilgisine ekler misin? 
Herkesi cclemesi sorun çıkardı.	Herkesi elektronik posta bilgisine eklemesi sorun çıkardı. 
Cclemeyi bilmediği için birden fazla kişiye elektronik posta gönderemedi.	Elektronik posta bilgisine eklemeyi bilmediği için birden fazla kişiye elektronik posta gönderemedi.
Ona gelen iletileri cclemesi gerekiyordu.	Ona gelen iletileri elektronik posta bilgisine eklemesi gerekiyordu. 
Cclemek isterken yanlış yaptı.	Elektronik posta bilgisine eklemek isterken yanlış yaptı.
Cclemeyi bilmiyordu.	Elektronik posta bilgisine eklemeyi  bilmiyordu.
Elektronik posta gönderirken cc kısmı çalışmıyordu.	Elektronik posta gönderirken elektronik posta bilgisine ekleme kısmı çalışmıyordu.
Fulltime iş aramaktayım.	Tam zamanlı iş aramaktayım.
Fulltime işler onu çok yoruyordu.	Tam zamanlı işler onu çok yoruyordu.
İş ararken fulltime olmasını istiyordu.	İş ararken tam zamanlı olmasını istiyordu.
Fulltime çalıştığında eve geç geliyordu.	Tam zamanlı çalıştığında eve geç geliyordu.
Fulltime işler için hiç vakti yoktu.	Tam zamanlı işler için hiç vakti yoktu.
Babasının çalıştığı şirket fulltime çalışıyordu.	Babasının çalıştığı şirket tam zamanlı çalışıyordu.
Fulltime olarak buradayız.	Tam zamanlı olarak buradayız.
Fulltime çalışan işçi ek iş yapamıyordu.	Tam zamanlı çalışan işçi ek iş yapamıyordu.
Fulltime işlerde genellikle sigorta olur.	Tam zamanlı işlerde genellikle sigorta olur.
Fulltime çalıştığı için çok fazla maaş alıyordu.	Tam zamanlı çalıştığı için çok fazla maaş alıyordu.
İnovasyon süreci uzun sürmüştü.	Yenilik süreci uzun sürmüştü.
İnovasyon sürecini hızlandırmak için eleman alımı yapıldı.	Yenilik sürecini hızlandırmak için eleman alımı yapıldı.
İnovasyon neden önemlidir?	Yenilik neden önemlidir? 
İnovasyon bir buluş değildir.	Yenilik bir buluş değildir.
İnovasyon yapan bazı firmalar vardı.	Yenilik yapan bazı firmalar vardı.
İnovasyon ekonomisi bu aralar sık takip ediliyor.	Yenilikçi ekonomisi bu aralar sık takip ediliyor.
İnovasyona dayalı rekabetçilik arttı.	Yenilikçiliğe dayalı rekabetçilik arttı.
Şirketin başarısını inovasyona borçluydular.	Şirketin başarısını yeniliğe borçluydular.
İnovasyon örneklerini incelediler.	Yenilikçi örnekleri incelediler. 
İnovasyonu teşvik eden bir ortam yaratmaya başladı.	Yeniliğe teşvik eden bir ortam yaratmaya başladı.
Toplantı hızlı bir şekilde set edildi.	Toplantı hızlı bir şekilde ayarlandı.
Set edilmesi gereken bir organizasyon vardı.	Ayarlanması gereken bir organizasyon vardı.
Toplantıyı set etmeye çalışırken zaman sıkıntısı yaşadılar.	Toplantıyı ayarlamaya çalışırken zaman sıkıntısı yaşadılar.
Bu evrakların set edilmesi gerekebilir.	Bu evrakların ayarlanması gerekebilir.
Set edilecek bir çok toplantı vardı.	Ayarlanacak bir çok toplantı vardı.
Toplantı set edilmediği için sorunlar konuşulmadı.	Toplantı ayarlanmadığı için sorunlar konuşulmadı.
Yanlış bir görüşme set edildi.	Yanlış bir görüşme ayarlandı.
Toplantı set edildiği halde kimse gelmedi.	Toplantı ayarlandığı halde kimse gelmedi.
İşler set edilirken bazı işler unutulmuş.	İşler ayarlanırken bazı işler unutulmuş.
Listeler set edildikten sonra herkese verildi.	Listeler ayarlandıktan sonra herkese verildi.
deadline yaklaşıyor elimizi çabuk tutmamız lazım.	son teslim zamanı yaklaşıyor elimizi çabuk tutmamız lazım.
projeyi deadline gelmeden bitirmemiz gerekiyor.	projeyi son teslim tarihi gelmeden bitirmemiz gerekiyor.
deadline konusu yaklaştıkça sıkılıyorum.	son teslim tarihi konusu yaklaştıkça sıkılıyorum		
şu an ki en büyük sorunumuz deadline ın gelmek üzere olması.	şu an ki en büyük sorunumuz son teslim zamanının gelmek üzere olması.
saatlerce sana deadline ın ne olduğunu anlatabilirim.	saatlerce sana son teslim tarihinin ne olduğunu anlatabilirim.
burada deadline ın ne olduğunu bilmeyen adamlarla iş yapıyoruz.	burada son teslim tarihinin ne olduğunu bilmeyen adamlarla iş yapıyoruz.
deadline dediğimizde hepimizin aklına aynı şey gelmeli.	son teslim tarihi dediğimizde hepimizin aklına aynı şey gelmeli.
maalesef projenin deadlineı bugündü.	maalesef projenin son teslim zamanı bugündü.
özür dilerim deadline'ın geçmiş olduğunu görmemişim.	özür dilerim son teslim zamanı'nın geçmiş olduğunu görmemişim.
deadline şu an için büyük bir engel değil.	son teslim zamanı şu an için büyük bir engel değil.
Mail'i sana yolladım check eder misin?	Mail'i sana yolladım denetler misin?
bu durumu ona rapor ettim ancak daha check etmedi.	bu durumu ona rapor ettim ancak daha denetlemedi.
eve gidince projeyi bir check edersen sevinirim.	eve gidince projeyi bir denetlersen sevinirim.
daha dosyaları check etmedim.	daha dosyaları denetlemedim.
projeyi bir check edersen sevinirim.	projeyi bir denetlersen sevinirim.
hiç kimse bunu check etmeyecek mi?	hiç kimse bunu denetlemeyecek mi?
projeyi kafanıza göre check edebilirsiniz.	projeyi kafanıza göre denetleyebilirsiniz.
bu dosyayı daha önce hiç check etmedim.	bu dosyayı daha önce hiç denetlemedim.
derse başlamadan önce müfredatı bir check etmemiz lazım.	derse başlamadan önce müfredatı bir denetlememiz lazım.
hiç check edilmemiş bir dosya ile karşı karşıyayız.	hiç denetlenmemiş bir dosya ile karşı karşıyayız.
bu ürünün lansmanı henüz yapılmadı.	bu ürünün tanıtımı henüz yapılmadı.
lansmanı yapılmamış ürünleri bünyemize katmıyoruz.	tanıtımı yapılmamış ürünleri bünyemize katmıyoruz.
Bu işi başarabilmen için lansmanın çok güzel geçmesi gerekiyor.	bu işi başarabilmen için tanıtımın çok güzel geçmesi gerekiyor.
yarın akşam ürünün lansmanı gerçekleşecek.	yarın akşam ürünün tanıtımı gerçekleşecek.
yeni arabanın lansmanı bugün yapıldı.	yeni arabanın tanıtımı bugün yapıldı.
bu firma yeni saatinin lansmanını yapmaktan vazgeçti.	bu firma yeni saatinin tanıtımını yapmaktan vazgeçti.
firmanın lansmanında rezalet çıktı.	firmanın tanıtımında rezalet çıktı.
lansmanlarda genellikle yeni özellikler tanıtılır.	tanıtımlarda genellikle yeni özellikler tanıtılır.
son lansmanda arabaları patladı.	son tanıtımda arabaları patladı.
lansmanlar sadec araba için yapılmaz.	tanıtımlar sadece araba için yapılmaz.
absürt kelimesi içerisinde pek çok anlam taşıyan bir kelime olabiliyor.	saçma kelimesi içerisinde pek çok anlam taşıyan bir kelime olabiliyor.
absürt absürt konuşuyor.	saçma saçma konuşuyor.
absürt kelimeler ile kafamızı karıştırıyor.	saçma kelimeler ile kafamızı karıştırıyor.
absürt konuşmaları var ve canımı sıkıyor.	saçma konuşmaları var ve canımı sıkıyor.
internetten absürtün anlamına baktım.	internetten saçmanın anlamına baktım.
bu çok absürt bir durum olmaya başladı.	bu çok saçma bir durum olmaya başladı.
dersin bazı konuları bayağı absürt.	dersin bazı konuları bayağı saçma.
absürt'ü çoğu insan farklı cümlelerde kullanabiliyor.	saçma'yı çoğu insan farklı cümlelerde kullanbiliyor.
bazı kelimelerin anlamı çok absürt olabiliyor.	bazı kelimelerin anlamı çok saçma olabiliyor.
absürt olmak göreceli bir kavram.	saçma olmak göreceli bir kavram.
dersin yeni konularını analiz etti.	dersin yeni konularını çözümledi.
tüm piyasayı analiz etmem gerekiyor.	tüm piyasayı çözümlemem gerekiyor.
yeni gelen kişileri hemen analiz etti.	yeni gelen kişileri hemen çözümledi.
notların analizi bir gün sürecekmiş.	notların çözümlenmesi bir gün sürecekmiş.
her konunun analizi yapılamayabilir.	her konunun çözümlemesi yapılamayabilir.
çok iyi bir analizcidir.	çok iyi bir çözümleyicidir.
ülkelerin bu durumda birbirlerini analiz etmeleri gerekiyor.	ülkelerin bu durumda birbirlerini çözümlemeleri gerekiyor.
sonuçlarımı analiz etmem gerek.	sonuçlarımı çözümlemem gerek.
yeni bir konuya geçmeden önce onu analiz etmen gerekiyor.	yeni bir konuya geçmeden önce onu çözümlemen gerekiyor.
bu projede bir analiz hatası var.	bu projede bir çözümleme hatası var.
ne kadar vizyonsuz bir adamsın.	ne kadar ileri görüşsüz bir adamsın.
bazı konular için vizyon gereklidir.	bazı konular için ileri görüş gereklidir.
vizyonumu geliştirmeye çalışıyorum.	 görüşümü değiştirmeye çalışıyorum.
çok vizyonlu bir insansın.	çok ileri görüşlü bir insansın.
bu kitap vizyonumu geliştirdi.	bu kitap ileri görüşümü geliştirdi.
düşünebilmek için vizyon da gereklidir.	düşünebilmek için ileri görüş de gereklidir.
vizyonu olan insanlar yaptıkları hatalardan ders çıkartırlar.	ileri görüşü olan insanlar yaptıkları hatalardan ders çıkartırlar.
şu yaptığın hareket ne kadar vizyon sahibi olduğunu açıkladı.	şu yaptığın hareket ne kadar ileri görüşlü olduğunu açıkladı.
vizyon kimileri için gerekli değilken kimileri için vazgeçilmezdir.	ileri görüşlülük kimileri için gerekli değilken kimileri için vazgeçilmezdir.
gazi mustafa kemal paşa çok vizyonlu bir adamdı.	gazi mustafa kemal paşa çok ileri görüşlü bir adamdı
cclemek gün içinde sık sık duyduğumuz tabirlerden biridir.	bilgiye eklemek gün içinde sık sık duyduğumuz tabirlerden biridir.
beni  ccler misin?	beni elektronik posta bilgisine ekler misin?
kaç kişi cclendi?	kaç kişi bilgiye eklendi?
herkes birbirini cclemiş.	herkes birbirini elektronik posta bilgisine eklemiş
seni neden ccleyeyim ki?	seni neden elektronik posta bilgisine ekleyeyim ki?
son projeye beni de ccler misin?	son projeye beni de bilgiye ekler misin?
sen kimi ccledin ki?	sen kimi elektronik posta bilgisine ekledin ki?
ben neden cclenmedim?	ben neden bilgiye eklenmedim?
bu çocuk burada cclenmek için ne katkı sağladı?	bu çocuk burada elektronik posta bilgisine eklenmek için ne katkı sağladı?
bir insan bir insanı neden ccler ki?	br insan bir insanı neden bilgiye ekler ki?
uzun zamandır full time bir iş arıyorum.	uzun zamandır tam zamanlı bir iş arıyorum.
full time işlerin maaşları fena değil.	tam zamanlı işlerin maaşları fena değil.
bu proje için full time çalışmam gerekecek.	bu proje için tam zamanlı çalışmam gerekecek.
full time bir iş için yeterli zamanım yok.	tam zamanlı bir iş için yeterli zamanım yok.
full time yerine yarı zamanlı bir iş baksam daha iyi olacak.	tam zamanlı yerine yarı zamanlı bir iş baksam daha iyi olacak.
bu konuda full time bir iş bulamazsın.	bu konuda tam zamanlı bir iş bulamazsın.
bu ücret full time için mi veriliyor?	bu ücret tam zaman için mi veriliyor?
full time çalşımaya ne dersin?	tam zamanlı çalışmaya ne dersin?
normal çalışanların aldığı ücret full time olarak mı veriliyor?	normal çalışanların aldığı ücret tam zamanlı olarak mı veriliyor?
bu işe full time kendimi veremeyebilirim.	bu işe tam zamanlı olarak kendimi veremeyebilirim.
tam olarak inovasyon çağındayız.	tam olarak yenilik çağındayız.
inovasyon bir ülkenin olmazsa olmazıdır.	yenilik bir ülkenin olmazsa olmazıdır.
bu ortamda yeterli inovasyon mevcut değil.	bu ortamda yeterli yenilik mevcut değil.
bu altını işlemek için yeterli düzeyde inovasyona sahip değiliz.	bu altını işlemek için yeterli düzeyde yeniliğe sahip değiliz.
