check	denetlemek
set edilmemiş bir toplantı bu.	ayarlanmamış bir toplantı bu.
Daha görüşme set edemeyen kişiler var şirkette.	Daha görüşme ayarlayamayan kişiler var şirkette.
müdürle bir görüşme set ettim.	müdürle bir görüşme ayarladım.
Sen de direktör ile toplantı set et.	Sen de direktör ile toplantı ayarla.
Topltantı set etmek yetenek işidir.	Topltantı ayarlamak yetenek işidir.
Herkes toplantı set edemez.	Herkes toplantı ayarlayamaz.
Her şeyi set ettinysen sorun kalmaz.	Her şeyi ayarladıysan sorun kalmaz.
deadline yaklaşıyor elimizi çabuk tutmamız lazım.	son teslim zamanı yaklaşıyor elimizi çabuk tutmamız lazım.
projeyi deadline gelmeden bitirmemiz gerekiyor.	projeyi son teslim tarihi gelmeden bitirmemiz gerekiyor.
deadline konusu yaklaştıkça sıkılıyorum.	son teslim tarihi konusu yaklaştıkça sıkılıyorum		
şu an ki en büyük sorunumuz deadline ın gelmek üzere olması.	şu an ki en büyük sorunumuz son teslim zamanının gelmek üzere olması.
saatlerce sana deadline ın ne olduğunu anlatabilirim.	saatlerce sana son teslim tarihinin ne olduğunu anlatabilirim.
burada deadline ın ne olduğunu bilmeyen adamlarla iş yapıyoruz.	burada son teslim tarihinin ne olduğunu bilmeyen adamlarla iş yapıyoruz.
deadline dediğimizde hepimizin aklına aynı şey gelmeli.	son teslim tarihi dediğimizde hepimizin aklına aynı şey gelmeli.
maalesef projenin deadlineı bugündü.	maalesef projenin son teslim zamanı bugündü.
özür dilerim deadline'ın geçmiş olduğunu görmemişim.	özür dilerim son teslim zamanı'nın geçmiş olduğunu görmemişim.
deadline şu an için büyük bir engel değil.	son teslim zamanı şu an için büyük bir engel değil.
Mail'i sana yolladım check eder misin?	Mail'i sana yolladım denetler misin?
bu durumu ona rapor ettim ancak daha check etmedi.	bu durumu ona rapor ettim ancak daha denetlemedi.
eve gidince projeyi bir check edersen sevinirim.	eve gidince projeyi bir denetlersen sevinirim.
daha dosyaları check etmedim.	daha dosyaları denetlemedim.
projeyi bir check edersen sevinirim.	projeyi bir denetlersen sevinirim.
hiç kimse bunu check etmeyecek mi?	hiç kimse bunu denetlemeyecek mi?
projeyi kafanıza göre check edebilirsiniz.	projeyi kafanıza göre denetleyebilirsiniz.
bu dosyayı daha önce hiç check etmedim.	bu dosyayı daha önce hiç denetlemedim.
derse başlamadan önce müfredatı bir check etmemiz lazım.	derse başlamadan önce müfredatı bir denetlememiz lazım.
hiç check edilmemiş bir dosya ile karşı karşıyayız.	hiç denetlenmemiş bir dosya ile karşı karşıyayız.
bu ürünün lansmanı henüz yapılmadı.	bu ürünün tanıtımı henüz yapılmadı.
lansmanı yapılmamış ürünleri bünyemize katmıyoruz.	tanıtımı yapılmamış ürünleri bünyemize katmıyoruz.
Bu işi başarabilmen için lansmanın çok güzel geçmesi gerekiyor.	bu işi başarabilmen için tanıtımın çok güzel geçmesi gerekiyor.
yarın akşam ürünün lansmanı gerçekleşecek.	yarın akşam ürünün tanıtımı gerçekleşecek.
yeni arabanın lansmanı bugün yapıldı.	yeni arabanın tanıtımı bugün yapıldı.
bu firma yeni saatinin lansmanını yapmaktan vazgeçti.	bu firma yeni saatinin tanıtımını yapmaktan vazgeçti.
firmanın lansmanında rezalet çıktı.	firmanın tanıtımında rezalet çıktı.
lansmanlarda genellikle yeni özellikler tanıtılır.	tanıtımlarda genellikle yeni özellikler tanıtılır.
son lansmanda arabaları patladı.	son tanıtımda arabaları patladı.
lansmanlar sadec araba için yapılmaz.	tanıtımlar sadece araba için yapılmaz.
absürt kelimesi içerisinde pek çok anlam taşıyan bir kelime olabiliyor.	saçma kelimesi içerisinde pek çok anlam taşıyan bir kelime olabiliyor.
absürt absürt konuşuyor.	saçma saçma konuşuyor.
absürt kelimeler ile kafamızı karıştırıyor.	saçma kelimeler ile kafamızı karıştırıyor.
absürt konuşmaları var ve canımı sıkıyor.	saçma konuşmaları var ve canımı sıkıyor.
internetten absürtün anlamına baktım.	internetten saçmanın anlamına baktım.
bu çok absürt bir durum olmaya başladı.	bu çok saçma bir durum olmaya başladı.
dersin bazı konuları bayağı absürt.	dersin bazı konuları bayağı saçma.
absürt'ü çoğu insan farklı cümlelerde kullanabiliyor.	saçma'yı çoğu insan farklı cümlelerde kullanbiliyor.
bazı kelimelerin anlamı çok absürt olabiliyor.	bazı kelimelerin anlamı çok saçma olabiliyor.
absürt olmak göreceli bir kavram.	saçma olmak göreceli bir kavram.
dersin yeni konularını analiz etti.	dersin yeni konularını çözümledi.
tüm piyasayı analiz etmem gerekiyor.	tüm piyasayı çözümlemem gerekiyor.
yeni gelen kişileri hemen analiz etti.	yeni gelen kişileri hemen çözümledi.
notların analizi bir gün sürecekmiş.	notların çözümlenmesi bir gün sürecekmiş.
her konunun analizi yapılamayabilir.	her konunun çözümlemesi yapılamayabilir.
çok iyi bir analizcidir.	çok iyi bir çözümleyicidir.
ülkelerin bu durumda birbirlerini analiz etmeleri gerekiyor.	ülkelerin bu durumda birbirlerini çözümlemeleri gerekiyor.
sonuçlarımı analiz etmem gerek.	sonuçlarımı çözümlemem gerek.
yeni bir konuya geçmeden önce onu analiz etmen gerekiyor.	yeni bir konuya geçmeden önce onu çözümlemen gerekiyor.
bu projede bir analiz hatası var.	bu projede bir çözümleme hatası var.
ne kadar vizyonsuz bir adamsın.	ne kadar ileri görüşsüz bir adamsın.
bazı konular için vizyon gereklidir.	bazı konular için ileri görüş gereklidir.
vizyonumu geliştirmeye çalışıyorum.	 görüşümü değiştirmeye çalışıyorum.
çok vizyonlu bir insansın.	çok ileri görüşlü bir insansın.
bu kitap vizyonumu geliştirdi.	bu kitap ileri görüşümü geliştirdi.
düşünebilmek için vizyon da gereklidir.	düşünebilmek için ileri görüş de gereklidir.
vizyonu olan insanlar yaptıkları hatalardan ders çıkartırlar.	ileri görüşü olan insanlar yaptıkları hatalardan ders çıkartırlar.
şu yaptığın hareket ne kadar vizyon sahibi olduğunu açıkladı.	şu yaptığın hareket ne kadar ileri görüşlü olduğunu açıkladı.
vizyon kimileri için gerekli değilken kimileri için vazgeçilmezdir.	ileri görüşlülük kimileri için gerekli değilken kimileri için vazgeçilmezdir.
gazi mustafa kemal paşa çok vizyonlu bir adamdı.	gazi mustafa kemal paşa çok ileri görüşlü bir adamdı
cclemek gün içinde sık sık duyduğumuz tabirlerden biridir.	bilgiye eklemek gün içinde sık sık duyduğumuz tabirlerden biridir.
beni  ccler misin?	beni elektronik posta bilgisine ekler misin?
kaç kişi cclendi?	kaç kişi bilgiye eklendi?
herkes birbirini cclemiş.	herkes birbirini elektronik posta bilgisine eklemiş
seni neden ccleyeyim ki?	seni neden elektronik posta bilgisine ekleyeyim ki?
son projeye beni de ccler misin?	son projeye beni de bilgiye ekler misin?
sen kimi ccledin ki?	sen kimi elektronik posta bilgisine ekledin ki?
ben neden cclenmedim?	ben neden bilgiye eklenmedim?
bu çocuk burada cclenmek için ne katkı sağladı?	bu çocuk burada elektronik posta bilgisine eklenmek için ne katkı sağladı?
bir insan bir insanı neden ccler ki?	br insan bir insanı neden bilgiye ekler ki?
uzun zamandır full time bir iş arıyorum.	uzun zamandır tam zamanlı bir iş arıyorum.
full time işlerin maaşları fena değil.	tam zamanlı işlerin maaşları fena değil.
bu proje için full time çalışmam gerekecek.	bu proje için tam zamanlı çalışmam gerekecek.
full time bir iş için yeterli zamanım yok.	tam zamanlı bir iş için yeterli zamanım yok.
full time yerine yarı zamanlı bir iş baksam daha iyi olacak.	tam zamanlı yerine yarı zamanlı bir iş baksam daha iyi olacak.
bu konuda full time bir iş bulamazsın.	bu konuda tam zamanlı bir iş bulamazsın.
bu ücret full time için mi veriliyor?	bu ücret tam zaman için mi veriliyor?
full time çalşımaya ne dersin?	tam zamanlı çalışmaya ne dersin?
normal çalışanların aldığı ücret full time olarak mı veriliyor?	normal çalışanların aldığı ücret tam zamanlı olarak mı veriliyor?
bu işe full time kendimi veremeyebilirim.	bu işe tam zamanlı olarak kendimi veremeyebilirim.
tam olarak inovasyon çağındayız.	tam olarak yenilik çağındayız.
inovasyon bir ülkenin olmazsa olmazıdır.	yenilik bir ülkenin olmazsa olmazıdır.
bu ortamda yeterli inovasyon mevcut değil.	bu ortamda yeterli yenilik mevcut değil.
bu altını işlemek için yeterli düzeyde inovasyona sahip değiliz.	bu altını işlemek için yeterli düzeyde yeniliğe sahip değiliz.
her ülke aynı inovasyon seviyesinde değil.	her ülke aynı yenilik seviyesinde değil.
inovasyon aslında tek sözcükle açıklanabilecek birşey değil.	yenilik aslında tek sözcükle açıklanabilecek birşey değil.
inovasyon dünyasında şu düştüğümüz hale bak.	yenilik dünyasında şu düştüğümüz hale bak.
inovasyon bilgisine sahip değilsin.	yenilik bilgisine sahip değilsin.
hep eski şeyleri deniyoruz biraz inovasyondan haberin olsun.	hep eski şeyleri deniyoruz biraz yenilikten haberin olsun.
inovasyon her ülkenin sırtlayamayacağı bir yük.	yenilik her ülkenin sırtlayamayacağı bir yük.
toplantıyı ne zaman set ediyoruz?	toplantıyı ne zaman ayarlıyoruz?
tüm gereklilikleri set ettik.	tüm gereklilikleri ayarladık.
her şey set edilmiş halde bekliyor.	her şey ayarlanmış halde bekliyor.
herkes hazırsa kişileri bir set edelim.	herkes hazırsa kişileri bir ayarlayalım.
her gün sonunda toplantılarınızı set edeceksiniz.	her gün sonunda toplantılarınızı ayarlayacaksınız.
set edilecek bir sürü konu var.	ayarlanacak bir sürü konu var
her yeni kişi set edilecek yeni bir toplantı demek.	her yeni kişi ayarlanacak yeni bir toplantı demek.
en son toplantı ne zaman set edilmişti?	en son toplantı ne zaman ayarlanmıştı?
her beyaz yakalı hayatında en az bir defa set etmek demiştir.	her beyaz yakalı hayatında en az bir defa ayarlamak demiştir.
set etmek lafını kullanmayan var mı?	ayarlamak lafını kullanmayan var mı?
her projenin deadline'ı aynı olmayabiliyor.	her projenin son teslim tarihi aynı olmayabiliyor.
tek bir deadline'a bağlı değiliz.	tek bir son teslim tarihine bağlı değiliz.
sürekli bir deadline peşindesiniz.	sürekli bir son teslim tarihi peşindesiniz.
deadline yetişir veya yetişmez önemli değil.	son teslim tarihi yetişir veya yetişmez önemli değil.
en son çalıştığın projenin deadlineı ne zaman?	en son çalıştığın projenin son teslim tarihi ne zaman?
deadline'ı ayrı mı yazmalıyız yoksa bitişik mi?	son teslim tarihini ayrı mı yazmalıyız yoksa bitişik mi?
deadline ı hiç kaçırmadım.	son teslim tarihini hiç kaçırmadım.
deadline'ı iki hafta uzatabilir miyiz?	son teslim tarihini iki hafta uzatabilir miyiz?
deadline a iki saatten az bir zaman kaldı.	son teslim tarihine iki saatten az bir zaman kaldı.
deadline'a az kaldı, yetiştirebilecek misin?	son teslim tarihine az kaldı, yetiştirebilecek misin?
abi ne yaptın, attığım projeyi check ettin mi?	abi ne yaptın, attığım projeyi denetledin mi?
kimse check etmiyorsa biz bunu nasıl bitireceğiz?	kimse denetlemiyorsa biz bunu nasıl bitireceğiz?
ahmet bey listeyi check ettiniz mi?	ahmet bey listeyi denetlediniz mi?
nalan hanım şunu bir check edelim.	nalan hanım şunu bir denetleyelim.
arkadaşlar bu dosyayı kim check ediyor?	arkadaşlar bu dosyayı kim denetliyor?
dostum son bir kez check edebilir misin?	dostum son bir kez denetleyebilir misin?
sevgili dostlarım benim projemi ne zaman check edeceksiniz?	sevgili dostlarım benim projemi ne zaman denetleyeceksiniz?
ortada check edilecek hiçbirşey kalmadı.	ortada denetlenecek hiçbirşey kalmadı.
her şeyi tek tek check etmem gerekiyor.	her şeyi tek tek denetlemem gerekiyor.
benim notları check edebilir misin?	benim notları denetler misin?
son projemizin lansmanı ne zaman yapılacak?	son projemizin tanıtımı ne zaman yapılacak?
bir ürünü lansmanını yapmadan ortaya atmak saçma olur.		bir ürünü tanıtımını yapmadan ortaya atmak saçma olur.
her proje için tek tek lansman mı yapacağız?	her proje için tek tek tanıtım mı yapacağız?
insanlardaki bu lansman hastalığı beni öldürüyor.	insanlardaki bu tanıtım hastalığı beni öldürüyor.
maalesef lansman'a katılamayacağım.	maalesef tanıtıma katılamayacağım.
son söz her zaman lansmanda söylenir.	son söz her zaman lansman'da söylenir.
lansmana ne kadar zaman kaldığını bilen var mı?	tanıtıma ne kadar zaman kaldığını bilen var mı?
lansmanın bitmesine çok az bir zaman kaldı.	tanıtımın bitmesine çok az bir zaman kaldı
tam da lansman yaklaşırken olur mu?	tam da tanıtım yaklaşırken olur mu?
maalesef lansman'a çıkamayacağız.	maalesef tanıtım'a çıkamayacağız.
absürt örnekler verecekseniz bu işe hiç başlamayalım.	saçma örnekler verecekseniz bu işe hiç başlamayalım.
aykırı olmak için absürt sorular soruyordu.	aykırı olmak için saçma sorular soruyordu.
illa absürt hareketler yapacaksınız.	illa saçma hareketler yapacaksınız.
anlamsız ve absürt tavırlarından sıkıldım.	anlamsız ve saçma tavırlarından sıkıldım.
her sınıfta sırf komiklik olsun diye absürt konuşan birileri vardır.	her sınıfta sırf komiklik olsun diye saçma konuşan birileri vardır.
hayatımda gördüğüm en absürt fikir.	hayatımda gördüğüm en saçma fikir.
gereksiz ve absürt sorular sorarak kafasını karıştırıyordu.	gereksiz ve saçma sorular sorarak kafasını karıştırıyordu.
hayatımda duyduğum en absürt fikir olabilir.	hayatımda duyduğum en saçma fikir olabilir.
boş ve absürt konuşarak bir yere gelemeyiz.	boş ve saçma konuşarak bir yere gelemeyiz.
bazen konuşmamak absürt konuşmaktan daha mantıklıdır.	bazen konuşmamak saçma konuşmaktan daha mantıklıdır.
profesyonel bir insan olduğu için tüm konuşmalarımızı sonradan analiz ediyordu.	profesyonel bir insan olduğu için tüm konuşmalarımızı sonradan çözümlüyordu.
her bir konu teker teker en ince ayrıntısına kadar analiz edildi.	her bir konu teker teker en ince ayrıntısına kadar çözümlendi.
istersen analiz eden biri ol istersen normal biri fark etmez.	istersen çözümleyen biri ol istersen normal biri fark etmez.
konuşulan her konu analiz edilmek zorunda değil.	konuşulan her konu çözümlenmek zorunda değil.
analiz süreci neredeyse her sektörde etkili bir süreçtir.	çözümleme süreci neredeyse her sektörde etkili bir süreçtir.
maalesef ki her analizine katılmıyorum.	maalesef ki her çözümlemene katılmıyorum.
analizinizin çağını arttırmalısınız.	çözümlemenizin çapını arttırmalısınız.
son dönemlerde türkiye'nin her hareketi analiz ediliyor.	son dönemlerde türkiye'nin her hareketi çözümleniliyor.
analiz edilen her konu aslında tartışılması gereken bir konudur.	çözümlenen her konu aslında tartışılması gereken bir konudur.
uçuşların analizi yapıldı.	uçuşların çözümlenmesi yapıldı.
okuduğun her kitap aslında vizyonunu fazlasıyla genişletir.	okuduğun her kitap aslında ileri görüşünü genişletir.
vizyon sadece konuşmak ile anlaşılabilir birşey değildir.	ileri görüş sadece konuşmak ile anlaşılabilir birşey değildir.
her bir insan farklı vizyonlara sahiptir ancak kullanılmadıkça bu özellik zamanla körelir.	her bir insan farklı ileri görüşlere sahiptir ancak kullanılmadıkça bu özellik zamanla körelir.
vizyon sadece bir kelime değildir, her insanda olması gereken birşeydir.	ileri görüşlülük sadece bir kelime değildir, her insanda olması gereken birşeydir.
kimse başka birinin vizyonunu kötümseyemez.	kimse başka birinin ileri görüşlülüğünü kötümseyemez.
vizyon insanlar için farklı anlamlara gelebilir.	ileri görüşlülük insanlar için farklı anlamlara gelebilir.
vizyonsuz insanlar için kendi geleceğini tehlikeye atmamalısın.	ileri görüşsüz insanlar için kendi geleceğini tehlikeye atmamalısın.
kimilerine göre tehlikeli olam vizyon, kimilerine göre de tam bir şaheserdir.	kimilerine göre tehlikeli olan ileri görüşlülük, kimilerine göre de tam bir şaheserdir.
her insan vizyon sahibi olabilir ancak her insan bunu gerçekleştirecek cesarete sahip değildir.	her insan ileri görüş sahibi olabilir ancak her insan bunu gerçekleştirecek cesarete sahip değildir.
son yazın vizyonumda önemli değişiklikler gerçekleştirdi.	son yazın ileri görüşümde önemli değişiklikler gerçekleştirdi.
herkes birbirini cclerse ne anlamı kalır?	herkes birbirini elektronik posta bilgisine eklerse ne anlamı kalır?
son gönderdiğine beni de cclersen ay sonu rahat ederim.	son gönderdiğin e posta bilgisine beni de eklersen ay sonu rahat ederim.
herkes beni ccle diyor ancak kimse beni cclemiyor.	herkes beni elektronik posta bilgisine ekle diyor ancak kimse beni elektronik posta  bilgisine eklemiyor.
tek birini cclemek bile bir işe yarıyor.	tek birini elektronik posta bilgisine eklemek bile bir işe yarıyor.
beni ccleyen her kimse bilgim yoktu.	beni elektronik posta bilgisine ekleyen her kimse bilgim yoktu.
tüm cclenen insanlar tek çatı altında.	tüm elektronik posta bilgisine eklenen insanlar tek çatı altında.
son konu hakkında beni kesinlikle cclemelisin.	son konu hakkında beni kesinlikle elektronik posta bilgisine eklemelisin.
tamam da beni neden cclemedin ?	tamam da beni neden elektronik posta bilgisine eklemedin?
ahmet bey beni de ccleyebilir misiniz ?	ahmet bey beni de elektronik posta bilgisine ekleyebilir misiniz ? 
komik olda da son olarak hanımefendiyi de ccleyelim.	komik olda da son olarak hanımefendiyi de elektronik posta bilgisine ekleyelim.
Projenin deadline geliyor.	Projenin son teslim zamanı geliyor.
Yapılacak olacak projenin deadline belli olmadı.	Yapılacak olacak projenin son teslim zamanı belli olmadı.
Müşteri deadline hakkında bir bilgi vermedi.	Müşteri son teslim zamanı hakkında bir bilgi vermedi.
Çalışanlar deadline yüzünden telaşlandılar.	Çalışanlar son teslim zamanı yüzünden telaşlandılar.
Mesailer projenin deadline yüzünden uzatıldı.	Mesailer projenin son teslim zamanı yüzünden uzatıldı.
Patrondan deadline için değişiklik istediler.	Patrondan son teslim zamanı için değişiklik istediler.
Deadline unutulduğu için proje yetiştirilemedi.	Son teslim zamanı unutulduğu için proje yetiştirilemedi.
Deadline olmayan işler bir türlü bitmiyordu.	Son teslim zamanı olmayan işler bir türlü bitmiyordu.
